product_id,category,subcategory,brand_name,product_name,short_name,search_keywords,fake_price_inr,original_category,availability_status,one_line_description,estimated_calories
NC032,Chocolate,Wafer Bar,Snack Therapy,Snack Therapy Crispy Closure Wafer,Closure Wafer,wafer breakup closure,71,chocolate,available,Wafer Bar made for layers like your coping strategy,243
NC033,Chocolate,Truffle,Sugar Syllabus,Sugar Syllabus Unread Message Truffles,Unread Truffles,truffle overthinking message,88,chocolate,available,Truffle made for sweetness for texts you should ignore,289
NC034,Chocolate,Dark Chocolate,Regret Foods,Regret Foods Serious Person Dark Chocolate,Serious Dark,dark chocolate serious mood,105,chocolate,available,Dark Chocolate made for for pretending your snack has discipline,338
NC035,Chocolate,Caramel Bar,Guilt Free-ish,Guilt Free-ish Rent Due Caramel Bar,Rent Caramel,caramel rent month end,122,chocolate,available,Caramel Bar made for sticky like your financial planning,372
NC036,Chocolate,Chocolate Bites,Emotional Damage,Emotional Damage Exam Result Chocolate Bites,Result Bites,chocolate exam stress,139,chocolate,available,"Chocolate Bites made for marks may vary, cocoa is constant",422
NC037,Chocolate,Fudge,Snack Therapy,Snack Therapy Therapy Slot Full Fudge,Therapy Fudge,fudge emotional snack,156,chocolate,available,Fudge made for next appointment available never,461
NC038,Chocolate,Choco Pie,Sugar Syllabus,Sugar Syllabus Soft Launch Choco Pie,Launch Pie,choco pie startup,173,chocolate,available,Choco Pie made for because production broke but dessert shipped,502
NC039,Chocolate,Hazelnut Bar,Regret Foods,Regret Foods LinkedIn Update Hazelnut Bar,LinkedIn Bar,hazelnut corporate cringe,190,chocolate,available,Hazelnut Bar made for for celebrating other people getting promoted,552
NC040,Chocolate,Brownie Bar,Guilt Free-ish,Guilt Free-ish Quarter Life Brownie Bar,Quarter Brownie,brownie quarter life,52,chocolate,available,"Brownie Bar made for rich, dense, and slightly confused",591
NC041,Chocolate,Chocolate Cubes,Emotional Damage,Emotional Damage Crush Replied Chocolate Cubes,Reply Cubes,chocolate crush reply,69,chocolate,available,Chocolate Cubes made for for screenshots sent to three friends,639
NC042,Chocolate,Protein Chocolate,Snack Therapy,Snack Therapy Gym Membership Chocolate,Gym Chocolate,protein chocolate fitness,86,chocolate,available,Protein Chocolate made for tastes like unused subscription guilt,677
NC043,Chocolate,Cocoa Bomb,Sugar Syllabus,Sugar Syllabus Family Group Cocoa Bomb,Family Cocoa,cocoa family whatsapp,103,chocolate,available,Cocoa Bomb made for explodes like forwarded messages,719
NC044,Chocolate,Chocolate Stick,Regret Foods,Regret Foods Metro Rush Chocolate Stick,Metro Stick,chocolate metro commute,120,chocolate,available,Chocolate Stick made for portable comfort for standing passengers,184
NC045,Chocolate,Praline,Guilt Free-ish,Guilt Free-ish Bonus Expected Praline,Bonus Praline,praline salary bonus,137,chocolate,available,Praline made for premium until hr sends the mail,223
NC046,Ice Cream,Tub,Emotional Damage,Emotional Damage Breakup Recovery Ice Cream Tub,Recovery Tub,ice cream breakup tub,68,ice cream,available,"Tub made for spoon sold separately, dignity not included",250
NC047,Ice Cream,Stick,Chill Pending,Chill Pending Power Cut Kulfi Stick,Power Kulfi,kulfi power cut summer,85,ice cream,available,Stick made for melts faster than patience,284
NC048,Ice Cream,Cone,Weekend Unlimited,Weekend Unlimited Main Character Cone,Main Cone,ice cream cone aesthetic,102,ice cream,available,Cone made for for walking to the fridge dramatically,325
NC049,Ice Cream,Sandwich,Snack Therapy,Snack Therapy Roommate Ate Mine Sandwich,Roommate Sandwich,ice cream sandwich hostel,119,ice cream,available,Sandwich made for trust issues between two biscuits,375
NC050,Ice Cream,Sundae,Regret Foods,Regret Foods Sunday Scaries Sundae,Scary Sundae,sundae sunday evening,136,ice cream,available,Sundae made for tastes like monday approaching,413
NC051,Ice Cream,Mini Tub,Emotional Damage,Emotional Damage Single But Fine Mini Tub,Fine Tub,mini tub lonely snack,153,ice cream,available,Mini Tub made for fine means two scoops minimum,459
NC052,Ice Cream,Cassata,Chill Pending,Chill Pending Family Function Cassata,Function Cassata,cassata family dinner,170,ice cream,available,Cassata made for three layers of relatives asking questions,501
NC053,Ice Cream,Sorbet,Weekend Unlimited,Weekend Unlimited Detox Lie Mango Sorbet,Detox Sorbet,sorbet mango diet,187,ice cream,available,Sorbet made for fruit-adjacent emotional loophole,543
NC054,Ice Cream,Choco Bar,Snack Therapy,Snack Therapy Salary Day Choco Bar,Salary Bar,choco bar salary day,204,ice cream,available,Choco Bar made for luxury until bank balance refreshes,584
NC055,Ice Cream,Cup,Regret Foods,Regret Foods Exam Night Vanilla Cup,Exam Cup,vanilla cup study night,221,ice cream,available,"Cup made for plain flavour, complicated life",629
NC056,Ice Cream,Gelato,Emotional Damage,Emotional Damage Bandra Mood Gelato,Bandra Gelato,gelato city aesthetic,238,ice cream,available,"Gelato made for rent too high, dessert too small",668
NC057,Ice Cream,Falooda,Chill Pending,Chill Pending Shaadi Cancelled Falooda,Cancelled Falooda,falooda wedding drama,255,ice cream,available,Falooda made for celebration without relatives,717
NC058,Ice Cream,Ice Pop,Weekend Unlimited,Weekend Unlimited Traffic Signal Ice Pop,Signal Pop,ice pop traffic summer,272,ice cream,available,"Ice Pop made for red light, cold coping",758
NC059,Ice Cream,Cookie Tub,Snack Therapy,Snack Therapy Crumbs Of Hope Cookie Tub,Hope Tub,cookie ice cream hope,289,ice cream,available,Cookie Tub made for hope is mostly cookie pieces,804
NC060,Ice Cream,Matka Kulfi,Regret Foods,Regret Foods Nani Approved Matka Kulfi,Nani Kulfi,matka kulfi nostalgia,65,ice cream,available,Matka Kulfi made for emotional blackmail in frozen form,847
NC061,Instant Food,Noodles,Hostel Heroes,Hostel Heroes Sunday Evening Panic Noodles,Panic Noodles,instant noodles sunday fear,37,instant food,available,Noodles made for two minutes plus existential dread,308
NC062,Instant Food,Cup Noodles,Panic Pantry,Panic Pantry Hostel Borrowed Kettle Cup Noodles,Kettle Noodles,cup noodles hostel,54,instant food,available,Cup Noodles made for requires water and social negotiation,357
NC063,Instant Food,Pasta Cup,Regret Foods,Regret Foods Deadline Alfredo Pasta Cup,Deadline Pasta,instant pasta office,71,instant food,available,Pasta Cup made for creamy escape from deliverables,392
NC064,Instant Food,Poha Cup,BhookBoss,BhookBoss 9AM Standup Poha Cup,Standup Poha,instant poha morning,88,instant food,available,Poha Cup made for breakfast for cameras-off professionals,429
NC065,Instant Food,Upma Cup,Sleep Later Co,Sleep Later Co Responsible Adult Upma Cup,Adult Upma,instant upma adulting,105,instant food,available,Upma Cup made for tastes like trying your best,478
NC066,Instant Food,Soup,Hostel Heroes,Hostel Heroes Sad Desk Tomato Soup,Desk Soup,instant soup work,122,instant food,available,Soup made for for keyboards that have seen things,515
NC067,Instant Food,Rice Bowl,Panic Pantry,Panic Pantry No Groceries Rice Bowl,No Grocery Bowl,rice bowl lazy dinner,139,instant food,available,Rice Bowl made for when your fridge becomes a museum,560
NC068,Instant Food,Khichdi Cup,Regret Foods,Regret Foods Stomach Apology Khichdi Cup,Apology Khichdi,khichdi comfort,156,instant food,available,Khichdi Cup made for a peace offering to your digestion,608
NC069,Instant Food,Mac Cup,BhookBoss,BhookBoss Fake Gourmet Mac Cup,Gourmet Mac,mac cheese instant,173,instant food,available,"Mac Cup made for five-star energy, hostel utensils",644
NC070,Instant Food,Oats Cup,Sleep Later Co,Sleep Later Co Fitness Reboot Masala Oats,Reboot Oats,masala oats fitness,35,instant food,available,Oats Cup made for reset button with masala,693
NC071,Instant Food,Momo Soup,Hostel Heroes,Hostel Heroes Rainy Day Momo Soup,Momo Soup,momo soup rain,52,instant food,available,Momo Soup made for cloudy weather in a cup,729
NC072,Instant Food,Dosa Mix,Panic Pantry,Panic Pantry Ambition Dosa Mix,Ambition Dosa,dosa mix breakfast,69,instant food,available,Dosa Mix made for for people with pan confidence,770
NC073,Instant Food,Paratha Mix,Regret Foods,Regret Foods Last Clean Plate Paratha Mix,Plate Paratha,paratha mix hostel,86,instant food,available,Paratha Mix made for utensil crisis management,824
NC074,Instant Food,Ramen Bowl,BhookBoss,BhookBoss Main Character Ramen Bowl,Main Ramen,ramen late night,103,instant food,available,Ramen Bowl made for for dramatic eating near windows,864
NC075,Instant Food,Biryani Cup,Sleep Later Co,Sleep Later Co Salary Over Biryani Cup,Budget Biryani,biryani cup month end,120,instant food,available,"Biryani Cup made for biryani feelings, cup budget",905
NC076,Bakery,Brownie,Snack Therapy,Snack Therapy Last Chapter Brownie Bites,Brownie Bites,brownie study stress,41,bakery,available,Brownie made for exam prep but make it fudgy,186
NC077,Bakery,Croissant,Sugar Syllabus,Sugar Syllabus Fake Paris Croissant,Paris Croissant,croissant luxury budget,58,bakery,available,"Croissant made for passport not required, delusion included",223
NC078,Bakery,Garlic Bread,Office Escape,Office Escape Date Cancelled Garlic Bread,Cancelled Bread,garlic bread date cancelled,75,bakery,available,Garlic Bread made for at least garlic showed up,273
NC079,Bakery,Muffin,Weekend Unlimited,Weekend Unlimited Meeting Could Be Muffin,Meeting Muffin,muffin office meeting,92,bakery,available,"Muffin made for soft, sweet, and more useful than agenda",312
NC080,Bakery,Donut,Adulting Dept,Adulting Dept Salary Credited Donut,Salary Donut,donut salary day,109,bakery,available,Donut made for circular like your spending habits,353
NC081,Bakery,Cupcake,Snack Therapy,Snack Therapy People Pleaser Cupcake,Pleaser Cupcake,cupcake social anxiety,126,bakery,available,Cupcake made for says yes before you do,397
NC082,Bakery,Banana Bread,Sugar Syllabus,Sugar Syllabus Overripe Plans Banana Bread,Plans Bread,banana bread weekend,143,bakery,available,Banana Bread made for for plans you ignored beautifully,445
NC083,Bakery,Cookie,Office Escape,Office Escape Browser History Cookie,History Cookie,cookie doomscroll,160,bakery,available,Cookie made for accept all cravings,483
NC084,Bakery,Pav,Weekend Unlimited,Weekend Unlimited Mumbai Local Pav Pack,Local Pav,pav commute snack,177,bakery,available,Pav made for soft landing after a hard commute,525
NC085,Bakery,Cake Slice,Adulting Dept,Adulting Dept Promotion Pending Cake Slice,Pending Cake,cake promotion office,194,bakery,available,Cake Slice made for celebration held in draft mode,575
NC086,Bakery,Cheese Bun,Snack Therapy,Snack Therapy Traffic Jam Cheese Bun,Jam Bun,cheese bun traffic,211,bakery,available,Cheese Bun made for stationary but emotionally moving,612
NC087,Bakery,Rusk,Sugar Syllabus,Sugar Syllabus Nani Biscuit Rusk,Nani Rusk,rusk tea nostalgia,228,bakery,available,Rusk made for approved by every steel dabba,650
NC088,Bakery,Waffle,Office Escape,Office Escape Influencer Brunch Waffle,Brunch Waffle,waffle brunch aesthetic,245,bakery,available,Waffle made for looks expensive from top angle,700
NC089,Bakery,Puff,Weekend Unlimited,Weekend Unlimited College Canteen Veg Puff,Canteen Puff,veg puff college,47,bakery,available,Puff made for flaky like attendance promises,743
NC090,Bakery,Cinnamon Roll,Adulting Dept,Adulting Dept Soft Life Cinnamon Roll,Soft Roll,cinnamon roll comfort,64,bakery,available,Cinnamon Roll made for for people scheduling rest as a task,785
NC091,Frozen Snacks,Momos,Regret Foods,Regret Foods Frozen Group Project Momos,Project Momos,momos frozen hostel,92,frozen snack,available,Momos made for everyone contributes chutney opinions,266
NC092,Frozen Snacks,Fries,Hostel Heroes,Hostel Heroes Quarter Life Crisis Fries,Crisis Fries,fries frozen stress,109,frozen snack,available,"Fries made for crispy outside, confused inside",308
NC093,Frozen Snacks,Nuggets,Midnight Mandali,Midnight Mandali Fake Protein Nuggets,Protein Nuggets,nuggets frozen gym,126,frozen snack,available,Nuggets made for gym-adjacent if you squint,346
NC094,Frozen Snacks,Spring Rolls,BhookBoss,BhookBoss House Party Spring Rolls,Party Rolls,spring rolls party snack,143,frozen snack,available,Spring Rolls made for for guests who arrive hungry and judge silently,393
NC095,Frozen Snacks,Pizza Pockets,Panic Pantry,Panic Pantry Rent Week Pizza Pockets,Rent Pockets,pizza pockets budget,160,frozen snack,available,Pizza Pockets made for pizza feelings in emi format,435
NC096,Frozen Snacks,Cheese Balls,Regret Foods,Regret Foods Unread Email Cheese Balls,Email Balls,cheese balls office,177,frozen snack,available,Cheese Balls made for inbox zero is a myth,480
NC097,Frozen Snacks,Kebab,Hostel Heroes,Hostel Heroes Balcony Kebab Skewers,Balcony Kebab,kebab frozen evening,194,frozen snack,available,Kebab made for restaurant vibes near drying clothes,519
NC098,Frozen Snacks,Samosa,Midnight Mandali,Midnight Mandali Emergency Guest Samosas,Guest Samosa,samosa frozen guests,211,frozen snack,available,Samosa made for because relatives give no eta,564
NC099,Frozen Snacks,Garlic Pops,BhookBoss,BhookBoss Vampire Cancelled Garlic Pops,Garlic Pops,garlic pops snack,228,frozen snack,available,Garlic Pops made for social distancing by flavour,613
NC100,Frozen Snacks,Paneer Tikka,Panic Pantry,Panic Pantry Fake Barbecue Paneer Tikka,BBQ Paneer,paneer tikka frozen,245,frozen snack,available,Paneer Tikka made for smoke alarm optional,653
NC101,Frozen Snacks,Cutlets,Regret Foods,Regret Foods Tiffin Memory Cutlets,Memory Cutlets,cutlet nostalgia,262,frozen snack,available,Cutlets made for school lunch flashback with adult bills,691
NC102,Frozen Snacks,Corn Bites,Hostel Heroes,Hostel Heroes Monsoon Corn Bites,Monsoon Corn,corn bites rain,279,frozen snack,available,Corn Bites made for rain demanded something crispy,731
NC103,Frozen Snacks,Hash Browns,Midnight Mandali,Midnight Mandali Monday Hash Browns,Monday Hash,hash brown breakfast,296,frozen snack,available,Hash Browns made for crispy denial before login,774
NC104,Frozen Snacks,Nacho Bites,BhookBoss,BhookBoss Movie Buffering Nacho Bites,Buffer Bites,nacho bites movie,313,frozen snack,available,Nacho Bites made for for loading screens and loud opinions,826
NC105,Frozen Snacks,Stuffed Kulcha,Panic Pantry,Panic Pantry North Indian Freezer Kulcha,Freezer Kulcha,kulcha frozen dinner,330,frozen snack,available,Stuffed Kulcha made for dhabha fantasy from a freezer drawer,869
NC106,Breakfast Regrets,Cereal,Guilt Free-ish,Guilt Free-ish Healthy Monday Cereal,Monday Cereal,cereal healthy monday,46,breakfast,available,"Cereal made for bought for discipline, eaten at 1am",201
NC107,Breakfast Regrets,Granola,Adulting Dept,Adulting Dept Influencer Granola Crunch,Granola Crunch,granola aesthetic breakfast,63,breakfast,available,Granola made for looks like rent in a bowl,248
NC108,Breakfast Regrets,Protein Bar,Panic Pantry,Panic Pantry Gym Bag Forgotten Protein Bar,Forgotten Bar,protein bar gym bag,80,breakfast,available,Protein Bar made for expired motivation flavour,295
NC109,Breakfast Regrets,Oats,Office Escape,Office Escape Plain Sadness Oats,Sad Oats,oats breakfast diet,97,breakfast,available,Oats made for for people punishing themselves politely,327
NC110,Breakfast Regrets,Cornflakes,Sasta Luxury,Sasta Luxury Bachelor Dinner Cornflakes,Dinner Flakes,cornflakes bachelor dinner,114,breakfast,available,Cornflakes made for breakfast at night because rules collapsed,378
NC111,Breakfast Regrets,Muesli,Guilt Free-ish,Guilt Free-ish Salary Day Muesli Deluxe,Muesli Deluxe,muesli premium salary,131,breakfast,available,Muesli made for tiny dry fruits with big confidence,419
NC112,Breakfast Regrets,Peanut Butter,Adulting Dept,Adulting Dept Spoonful Regret Peanut Butter,Regret Butter,peanut butter spoon snack,148,breakfast,available,"Peanut Butter made for no bread, only vibes",467
NC113,Breakfast Regrets,Bread,Panic Pantry,Panic Pantry Last Two Slices Bread,Two Slices,bread breakfast empty fridge,165,breakfast,available,Bread made for a survival story in plastic,502
NC114,Breakfast Regrets,Jam,Office Escape,Office Escape Childhood Excuse Jam,Excuse Jam,jam bread nostalgia,182,breakfast,available,Jam made for because plain bread felt too honest,544
NC115,Breakfast Regrets,Pancake Mix,Sasta Luxury,Sasta Luxury Weekend Ambition Pancake Mix,Ambition Pancake,pancake mix weekend,199,breakfast,available,Pancake Mix made for requires the version of you who wakes early,595
NC116,Breakfast Regrets,Idli Batter,Guilt Free-ish,Guilt Free-ish Responsible Citizen Idli Batter,Citizen Batter,idli batter breakfast,216,breakfast,available,Idli Batter made for for when you briefly respect routine,641
NC117,Breakfast Regrets,Dhokla,Adulting Dept,Adulting Dept Diet Starts Dhokla Pack,Diet Dhokla,dhokla breakfast snack,32,breakfast,available,"Dhokla made for steamed, therefore legally innocent",676
NC118,Breakfast Regrets,Chai Biscuit,Panic Pantry,Panic Pantry Meeting Delay Chai Biscuit,Delay Biscuit,chai biscuit office,49,breakfast,available,Chai Biscuit made for tea break disguised as project work,722
NC119,Breakfast Regrets,Smoothie Pack,Office Escape,Office Escape Detox Tomorrow Smoothie Pack,Tomorrow Smoothie,smoothie detox fruit,66,breakfast,available,Smoothie Pack made for tomorrow you is very ambitious,767
NC120,Breakfast Regrets,Egg Bites,Sasta Luxury,Sasta Luxury Meal Prep Egg Bites,Prep Bites,egg bites breakfast,83,breakfast,available,Egg Bites made for meal prep for people who forgot meals,801
NC121,Random Non-Food Items,Earbuds,Laziness Labs,Laziness Labs Meeting Escape Earbuds Do Nothing Edition,Escape Earbuds,earbuds meeting escape,40,non food item,available,Earbuds made for blocks nothing except accountability,0
NC122,Random Non-Food Items,Cable,Dopamine Dukaan,Dopamine Dukaan Mystery Drawer Charging Cable,Mystery Cable,charging cable drawer,57,non food item,available,Cable made for might work if you believe enough,0
NC123,Random Non-Food Items,Notebook,Adulting Dept,Adulting Dept Fresh Start Notebook,Fresh Notebook,notebook productivity,74,non food item,available,"Notebook made for page one has dreams, page two has doodles",0
NC124,Random Non-Food Items,Scented Candle,Weekend Unlimited,Weekend Unlimited Rent Friendly Luxury Candle,Luxury Candle,candle room aesthetic,91,non food item,available,Scented Candle made for makes 1bhk feel sponsored,0
NC125,Random Non-Food Items,Face Wash,Sasta Luxury,Sasta Luxury Tomorrow Glow Face Wash,Tomorrow Glow,face wash skincare late night,108,non food item,available,Face Wash made for for routines started after midnight,0
NC126,Random Non-Food Items,Batteries,Laziness Labs,Laziness Labs Remote Fight Batteries,Remote Batteries,batteries remote family,125,non food item,available,Batteries made for saves democracy in the living room,0
NC127,Random Non-Food Items,Laundry Bag,Dopamine Dukaan,Dopamine Dukaan Laundry Mountain Storage Bag,Laundry Bag,laundry bag adulting,142,non food item,available,Laundry Bag made for for clothes entering geological phase,0
NC128,Random Non-Food Items,Sticky Notes,Adulting Dept,Adulting Dept Fake Productivity Sticky Notes,Sticky Notes,sticky notes productivity,159,non food item,available,"Sticky Notes made for tiny papers, huge avoidance",0
NC129,Random Non-Food Items,Room Freshener,Weekend Unlimited,Weekend Unlimited Hostel Room Apology Spray,Apology Spray,room freshener hostel,176,non food item,available,Room Freshener made for for smells with backstory,0
NC130,Random Non-Food Items,Keychain,Sasta Luxury,Sasta Luxury Personality Keychain,Keychain,keychain impulse buy,193,non food item,available,Keychain made for because keys looked emotionally empty,0
NC131,Random Non-Food Items,Sleep Mask,Laziness Labs,Laziness Labs Optimistic Sleep Mask,Sleep Mask,sleep mask insomnia,210,non food item,available,Sleep Mask made for darkness is not a sleep schedule,0
NC132,Random Non-Food Items,Water Bottle,Dopamine Dukaan,Dopamine Dukaan Hydration Personality Bottle,Hydration Bottle,water bottle office,227,non food item,available,Water Bottle made for for people who buy wellness accessories,0
NC133,Random Non-Food Items,Phone Stand,Adulting Dept,Adulting Dept Reels Research Phone Stand,Phone Stand,phone stand reels,244,non food item,available,Phone Stand made for hands-free doomscrolling innovation,0
NC134,Random Non-Food Items,Planner,Weekend Unlimited,Weekend Unlimited Life Sorted Planner,Sorted Planner,planner adulting,261,non food item,available,Planner made for january energy in june packaging,0
NC135,Random Non-Food Items,Tote Bag,Sasta Luxury,Sasta Luxury Main Character Tote Bag,Tote Bag,tote bag aesthetic,278,non food item,available,Tote Bag made for carries groceries and delusion,0
NC136,Emotional Purchases,Gift Box,Dopamine Dukaan,Dopamine Dukaan Apology To Myself Gift Box,Self Gift,self gift emotional purchase,68,emotional purchase,available,Gift Box made for for forgiving yourself without evidence,0
NC137,Emotional Purchases,Sticker Pack,Weekend Unlimited,Weekend Unlimited Therapy Pending Sticker Pack,Therapy Stickers,stickers laptop therapy,85,emotional purchase,available,Sticker Pack made for cheaper than processing feelings,0
NC138,Emotional Purchases,Mini Plant,Sasta Luxury,Sasta Luxury Responsibility Practice Mini Plant,Practice Plant,mini plant adulting,102,emotional purchase,available,Mini Plant made for low-stakes parenting with leaves,0
NC139,Emotional Purchases,Mug,Emotional Damage,Emotional Damage Corporate Personality Mug,Office Mug,mug office personality,119,emotional purchase,available,Mug made for because your desk needed a coping prop,0
NC140,Emotional Purchases,Bookmark,Laziness Labs,Laziness Labs Reading Habit Bookmark,Habit Bookmark,bookmark books habit,136,emotional purchase,available,Bookmark made for for books you keep meaning to start,0
NC141,Emotional Purchases,Fairy Lights,Dopamine Dukaan,Dopamine Dukaan Mood Repair Fairy Lights,Repair Lights,fairy lights room mood,153,emotional purchase,available,Fairy Lights made for room makeover under emotional pressure,0
NC142,Emotional Purchases,Poster,Weekend Unlimited,Weekend Unlimited Motivation Poster For Tired People,Tired Poster,poster motivation tired,170,emotional purchase,available,Poster made for shouts hustle at someone lying down,0
NC143,Emotional Purchases,Lip Balm,Sasta Luxury,Sasta Luxury Where Did It Go Lip Balm,Lost Balm,lip balm impulse,187,emotional purchase,available,Lip Balm made for you already own six invisible ones,0
NC144,Emotional Purchases,Desk Toy,Emotional Damage,Emotional Damage Deadline Panic Desk Toy,Panic Toy,desk toy stress,204,emotional purchase,available,Desk Toy made for productivity through fidgeting,0
NC145,Emotional Purchases,Journal,Laziness Labs,Laziness Labs Overthinking Export Journal,Export Journal,journal overthinking,221,emotional purchase,available,Journal made for converts brain tabs into paper tabs,0
NC146,Emotional Purchases,Bath Bomb,Dopamine Dukaan,Dopamine Dukaan Main Character Bath Bomb,Bath Bomb,bath bomb self care,238,emotional purchase,available,Bath Bomb made for for bathrooms pretending to be resorts,0
